ABCI,POINT,A_RYB,A_BYT,A_OYP,B_POT,B_MYB,B_BOG,C_RB,C_OP,C_PG
0.66,0.335,#6CBFFE,#02CDC5,#D19AFD,#02CDC5,#6CBFFE,#47C1A5,#6CBFFE,#D19AFD,#00F473
0.67,0.3325,#6CBFFE,#02CDC5,#D19AFD,#02CDC5,#6CBFFE,#47C0A5,#6CBFFE,#D19AFD,#00F473
0.68,0.33,#6CBFFE,#02CCC4,#D09AFD,#02CCC4,#6CBFFE,#47C0A4,#6CBFFE,#D09AFD,#00F473
0.69,0.3275,#6CBEFE,#02CCC4,#D09AFD,#02CCC4,#6CBEFE,#46C0A4,#6CBEFE,#D09AFD,#00F473
0.7,0.325,#6CBEFE,#02CCC4,#D099FD,#02CCC4,#6CBEFE,#46C0A4,#6CBEFE,#D099FD,#00F473
0.71,0.3225,#6CBEFE,#02CCC4,#D099FD,#02CCC4,#6CBEFE,#46C0A4,#6CBEFE,#D099FD,#00F472
0.72,0.32,#6BBEFE,#02CCC4,#D099FD,#02CCC4,#6BBEFE,#46BFA4,#6BBEFE,#D099FD,#00F372
0.73,0.3175,#6BBEFE,#02CCC4,#D099FD,#02CCC4,#6BBEFE,#46BFA3,#6BBEFE,#D099FD,#00F372
0.74,0.315,#6BBEFE,#02CBC3,#D099FD,#02CBC3,#6BBEFE,#46BFA3,#6BBEFE,#D099FD,#00F372
0.75,0.3125,#6BBEFE,#02CBC3,#D099FD,#02CBC3,#6BBEFE,#46BFA3,#6BBEFE,#D099FD,#00F372
0.76,0.31,#6BBEFE,#02CBC3,#D098FD,#02CBC3,#6BBEFE,#46BFA3,#6BBEFE,#D098FD,#00F372
0.77,0.3075,#6BBEFE,#02CBC3,#D098FD,#02CBC3,#6BBEFE,#45BEA3,#6BBEFE,#D098FD,#00F372
0.78,0.305,#6BBEFE,#02CBC3,#D098FD,#02CBC3,#6BBEFE,#45BEA2,#6BBEFE,#D098FD,#00F272
0.79,0.3025,#6ABEFE,#02CBC3,#CF98FD,#02CBC3,#6ABEFE,#45BEA2,#6ABEFE,#CF98FD,#00F272
0.8,0.3,#6ABEFE,#02CBC3,#CF98FD,#02CBC3,#6ABEFE,#45BEA2,#6ABEFE,#CF98FD,#00F272
0.81,0.2975,#6ABEFE,#02CAC2,#CF97FD,#02CAC2,#6ABEFE,#45BEA2,#6ABEFE,#CF97FD,#00F272
0.82,0.295,#6ABDFE,#02CAC2,#CF97FD,#02CAC2,#6ABDFE,#45BDA2,#6ABDFE,#CF97FD,#00F272
0.83,0.2925,#6ABDFE,#02CAC2,#CF97FD,#02CAC2,#6ABDFE,#45BDA1,#6ABDFE,#CF97FD,#00F272
0.84,0.29,#6ABDFE,#02CAC2,#CF97FD,#02CAC2,#6ABDFE,#44BDA1,#6ABDFE,#CF97FD,#00F172
0.85,0.2875,#69BDFE,#02CAC2,#CF97FD,#02CAC2,#69BDFE,#44BDA1,#69BDFE,#CF97FD,#00F171
0.86,0.285,#69BDFE,#02CAC2,#CF97FD,#02CAC2,#69BDFE,#44BDA1,#69BDFE,#CF97FD,#00F171
0.87,0.2825,#69BDFE,#02CAC2,#CF96FD,#02CAC2,#69BDFE,#44BCA1,#69BDFE,#CF96FD,#00F171
0.88,0.28,#69BDFE,#01C9C1,#CF96FD,#01C9C1,#69BDFE,#44BCA0,#69BDFE,#CF96FD,#00F171
0.89,0.2775,#69BDFE,#01C9C1,#CF96FD,#01C9C1,#69BDFE,#44BCA0,#69BDFE,#CF96FD,#00F171
0.9,0.275,#69BDFE,#01C9C1,#CF96FD,#01C9C1,#69BDFE,#44BCA0,#69BDFE,#CF96FD,#00F071
0.91,0.2725,#68BDFE,#01C9C1,#CE96FD,#01C9C1,#68BDFE,#44BCA0,#68BDFE,#CE96FD,#00F071
0.92,0.27,#68BDFE,#01C9C1,#CE95FD,#01C9C1,#68BDFE,#43BBA0,#68BDFE,#CE95FD,#00F071
0.93,0.2675,#68BDFE,#01C9C1,#CE95FD,#01C9C1,#68BDFE,#43BB9F,#68BDFE,#CE95FD,#00F071
0.94,0.265,#68BCFE,#01C9C1,#CE95FD,#01C9C1,#68BCFE,#43BB9F,#68BCFE,#CE95FD,#00F071
0.95,0.2625,#68BCFE,#01C8C0,#CE95FD,#01C8C0,#68BCFE,#43BB9F,#68BCFE,#CE95FD,#00F071
0.96,0.26,#68BCFD,#01C8C0,#CE95FD,#01C8C0,#68BCFD,#43BA9F,#68BCFD,#CE95FD,#00EF71
0.97,0.2575,#67BCFD,#01C8C0,#CE95FD,#01C8C0,#67BCFD,#43BA9F,#67BCFD,#CE95FD,#00EF71
0.98,0.255,#67BCFD,#01C8C0,#CE94FD,#01C8C0,#67BCFD,#43BA9E,#67BCFD,#CE94FD,#00EF70
0.99,0.2525,#67BCFD,#01C8C0,#CE94FD,#01C8C0,#67BCFD,#42BA9E,#67BCFD,#CE94FD,#00EF70
1,0.25,#67BCFD,#01C8C0,#CE94FD,#01C8C0,#67BCFD,#42BA9E,#67BCFD,#CE94FD,#00EF70
1.01,0.2475,#67BCFD,#01C8C0,#CE94FD,#01C8C0,#67BCFD,#42B99E,#67BCFD,#CE94FD,#00EF70
1.02,0.245,#67BCFD,#01C7BF,#CD94FD,#01C7BF,#67BCFD,#42B99E,#67BCFD,#CD94FD,#00EE70
1.03,0.2425,#67BCFD,#01C7BF,#CD93FD,#01C7BF,#67BCFD,#42B99D,#67BCFD,#CD93FD,#00EE70
1.04,0.24,#66BCFD,#01C7BF,#CD93FD,#01C7BF,#66BCFD,#42B99D,#66BCFD,#CD93FD,#00EE70
1.05,0.2375,#66BCFD,#01C7BF,#CD93FD,#01C7BF,#66BCFD,#42B99D,#66BCFD,#CD93FD,#00EE70
1.06,0.235,#66BCFD,#01C7BF,#CD93FD,#01C7BF,#66BCFD,#42B89D,#66BCFD,#CD93FD,#00EE70
1.07,0.2325,#66BBFD,#01C7BF,#CD93FD,#01C7BF,#66BBFD,#41B89D,#66BBFD,#CD93FD,#00EE70
1.08,0.23,#66BBFD,#01C6BE,#CD93FD,#01C6BE,#66BBFD,#41B89C,#66BBFD,#CD93FD,#00ED70
1.09,0.2275,#66BBFD,#01C6BE,#CD92FD,#01C6BE,#66BBFD,#41B89C,#66BBFD,#CD92FD,#00ED70
1.1,0.225,#65BBFD,#01C6BE,#CD92FD,#01C6BE,#65BBFD,#41B89C,#65BBFD,#CD92FD,#00ED70
1.11,0.2225,#65BBFD,#01C6BE,#CD92FD,#01C6BE,#65BBFD,#41B79C,#65BBFD,#CD92FD,#00ED70
1.12,0.22,#65BBFD,#01C6BE,#CD92FD,#01C6BE,#65BBFD,#41B79C,#65BBFD,#CD92FD,#00ED6F
1.13,0.2175,#65BBFD,#01C6BE,#CD92FD,#01C6BE,#65BBFD,#41B79B,#65BBFD,#CD92FD,#00ED6F
1.14,0.215,#65BBFD,#01C6BE,#CC91FD,#01C6BE,#65BBFD,#40B79B,#65BBFD,#CC91FD,#00EC6F
1.15,0.2125,#65BBFD,#01C5BD,#CC91FD,#01C5BD,#65BBFD,#40B79B,#65BBFD,#CC91FD,#00EC6F
1.16,0.21,#64BBFD,#01C5BD,#CC91FD,#01C5BD,#64BBFD,#40B69B,#64BBFD,#CC91FD,#00EC6F
1.17,0.2075,#64BBFD,#01C5BD,#CC91FD,#01C5BD,#64BBFD,#40B69B,#64BBFD,#CC91FD,#00EC6F
1.18,0.205,#64BBFD,#01C5BD,#CC91FD,#01C5BD,#64BBFD,#40B69A,#64BBFD,#CC91FD,#00EC6F
1.19,0.2025,#64BAFD,#01C5BD,#CC91FD,#01C5BD,#64BAFD,#40B69A,#64BAFD,#CC91FD,#00EC6F
1.2,0.2,#64BAFD,#01C5BD,#CC90FD,#01C5BD,#64BAFD,#40B69A,#64BAFD,#CC90FD,#00EB6F
1.21,0.1975,#64BAFD,#01C5BD,#CC90FD,#01C5BD,#64BAFD,#40B59A,#64BAFD,#CC90FD,#00EB6F
1.22,0.195,#63BAFD,#01C4BC,#CC90FD,#01C4BC,#63BAFD,#3FB59A,#63BAFD,#CC90FD,#00EB6F
1.23,0.1925,#63BAFD,#01C4BC,#CC90FD,#01C4BC,#63BAFD,#3FB599,#63BAFD,#CC90FD,#00EB6F
1.24,0.19,#63BAFD,#01C4BC,#CC90FD,#01C4BC,#63BAFD,#3FB599,#63BAFD,#CC90FD,#00EB6F
1.25,0.1875,#63BAFD,#01C4BC,#CC90FD,#01C4BC,#63BAFD,#3FB599,#63BAFD,#CC90FD,#00EB6F
1.26,0.185,#63BAFC,#01C4BC,#CB8FFD,#01C4BC,#63BAFC,#3FB499,#63BAFC,#CB8FFD,#00EA6E
1.27,0.1825,#63BAFC,#01C4BC,#CB8FFD,#01C4BC,#63BAFC,#3FB499,#63BAFC,#CB8FFD,#00EA6E
1.28,0.18,#63BAFC,#01C4BC,#CB8FFD,#01C4BC,#63BAFC,#3FB498,#63BAFC,#CB8FFD,#00EA6E
1.29,0.1775,#62BAFC,#01C3BB,#CB8FFD,#01C3BB,#62BAFC,#3EB498,#62BAFC,#CB8FFD,#00EA6E
1.3,0.175,#62BAFC,#01C3BB,#CB8FFD,#01C3BB,#62BAFC,#3EB398,#62BAFC,#CB8FFD,#00EA6E
1.31,0.1725,#62BAFC,#01C3BB,#CB8EFD,#01C3BB,#62BAFC,#3EB398,#62BAFC,#CB8EFD,#00EA6E
1.32,0.17,#62B9FC,#01C3BB,#CB8EFD,#01C3BB,#62B9FC,#3EB398,#62B9FC,#CB8EFD,#00E96E
1.33,0.1675,#62B9FC,#01C3BB,#CB8EFD,#01C3BB,#62B9FC,#3EB397,#62B9FC,#CB8EFD,#00E96E
1.34,0.165,#62B9FC,#01C3BB,#CB8EFD,#01C3BB,#62B9FC,#3EB397,#62B9FC,#CB8EFD,#00E96E
1.35,0.1625,#61B9FC,#01C3BB,#CB8EFD,#01C3BB,#61B9FC,#3EB297,#61B9FC,#CB8EFD,#00E96E
1.36,0.16,#61B9FC,#01C2BA,#CB8EFD,#01C2BA,#61B9FC,#3EB297,#61B9FC,#CB8EFD,#00E96E
1.37,0.1575,#61B9FC,#01C2BA,#CA8DFD,#01C2BA,#61B9FC,#3DB297,#61B9FC,#CA8DFD,#00E96E
1.38,0.155,#61B9FC,#01C2BA,#CA8DFD,#01C2BA,#61B9FC,#3DB296,#61B9FC,#CA8DFD,#00E86E
1.39,0.1525,#61B9FC,#01C2BA,#CA8DFD,#01C2BA,#61B9FC,#3DB296,#61B9FC,#CA8DFD,#00E86D
1.4,0.15,#61B9FC,#01C2BA,#CA8DFD,#01C2BA,#61B9FC,#3DB196,#61B9FC,#CA8DFD,#00E86D
1.41,0.1475,#60B9FC,#01C2BA,#CA8DFD,#01C2BA,#60B9FC,#3DB196,#60B9FC,#CA8DFD,#00E86D
1.42,0.145,#60B9FC,#01C2BA,#CA8CFD,#01C2BA,#60B9FC,#3DB196,#60B9FC,#CA8CFD,#00E86D
1.43,0.1425,#60B9FC,#01C1B9,#CA8CFD,#01C1B9,#60B9FC,#3DB195,#60B9FC,#CA8CFD,#00E86D
1.44,0.14,#60B8FC,#01C1B9,#CA8CFD,#01C1B9,#60B8FC,#3CB195,#60B8FC,#CA8CFD,#00E76D
1.45,0.1375,#60B8FC,#01C1B9,#CA8CFD,#01C1B9,#60B8FC,#3CB095,#60B8FC,#CA8CFD,#00E76D
1.46,0.135,#60B8FC,#01C1B9,#CA8CFD,#01C1B9,#60B8FC,#3CB095,#60B8FC,#CA8CFD,#00E76D
1.47,0.1325,#5FB8FC,#01C1B9,#CA8CFD,#01C1B9,#5FB8FC,#3CB095,#5FB8FC,#CA8CFD,#00E76D
1.48,0.13,#5FB8FC,#01C1B9,#CA8BFD,#01C1B9,#5FB8FC,#3CB094,#5FB8FC,#CA8BFD,#00E76D
1.49,0.1275,#5FB8FC,#01C0B8,#C98BFD,#01C0B8,#5FB8FC,#3CB094,#5FB8FC,#C98BFD,#00E76D
1.5,0.125,#5FB8FC,#01C0B8,#C98BFD,#01C0B8,#5FB8FC,#3CAF94,#5FB8FC,#C98BFD,#00E66D
1.51,0.1225,#5FB8FC,#01C0B8,#C98BFD,#01C0B8,#5FB8FC,#3CAF94,#5FB8FC,#C98BFD,#00E66D
1.52,0.12,#5FB8FC,#01C0B8,#C98BFD,#01C0B8,#5FB8FC,#3BAF94,#5FB8FC,#C98BFD,#00E66D
1.53,0.1175,#5FB8FC,#01C0B8,#C98AFD,#01C0B8,#5FB8FC,#3BAF93,#5FB8FC,#C98AFD,#00E66C
1.54,0.115,#5EB8FC,#01C0B8,#C98AFD,#01C0B8,#5EB8FC,#3BAF93,#5EB8FC,#C98AFD,#00E66C
1.55,0.1125,#5EB8FC,#01C0B8,#C98AFD,#01C0B8,#5EB8FC,#3BAE93,#5EB8FC,#C98AFD,#00E66C
1.56,0.11,#5EB8FB,#01BFB7,#C98AFD,#01BFB7,#5EB8FB,#3BAE93,#5EB8FB,#C98AFD,#00E56C
1.57,0.1075,#5EB7FB,#01BFB7,#C98AFD,#01BFB7,#5EB7FB,#3BAE93,#5EB7FB,#C98AFD,#00E56C
1.58,0.105,#5EB7FB,#01BFB7,#C98AFD,#01BFB7,#5EB7FB,#3BAE92,#5EB7FB,#C98AFD,#00E56C
1.59,0.1025,#5EB7FB,#01BFB7,#C989FD,#01BFB7,#5EB7FB,#3AAD92,#5EB7FB,#C989FD,#00E56C
1.6,0.1,#5DB7FB,#01BFB7,#C889FD,#01BFB7,#5DB7FB,#3AAD92,#5DB7FB,#C889FD,#00E56C
1.61,0.0975,#5DB7FB,#01BFB7,#C889FD,#01BFB7,#5DB7FB,#3AAD92,#5DB7FB,#C889FD,#00E56C
1.62,0.095,#5DB7FB,#01BFB7,#C889FD,#01BFB7,#5DB7FB,#3AAD92,#5DB7FB,#C889FD,#00E46C
1.63,0.0925,#5DB7FB,#00BEB6,#C889FD,#00BEB6,#5DB7FB,#3AAD91,#5DB7FB,#C889FD,#00E46C
1.64,0.09,#5DB7FB,#00BEB6,#C888FD,#00BEB6,#5DB7FB,#3AAC91,#5DB7FB,#C888FD,#00E46C
1.65,0.0875,#5DB7FB,#00BEB6,#C888FD,#00BEB6,#5DB7FB,#3AAC91,#5DB7FB,#C888FD,#00E46C
1.66,0.085,#5CB7FB,#00BEB6,#C888FD,#00BEB6,#5CB7FB,#3AAC91,#5CB7FB,#C888FD,#00E46B
1.67,0.0825,#5CB7FB,#00BEB6,#C888FD,#00BEB6,#5CB7FB,#39AC91,#5CB7FB,#C888FD,#00E46B
1.68,0.08,#5CB7FB,#00BEB6,#C888FD,#00BEB6,#5CB7FB,#39AC90,#5CB7FB,#C888FD,#00E36B
1.69,0.0775,#5CB6FB,#00BEB6,#C888FD,#00BEB6,#5CB6FB,#39AB90,#5CB6FB,#C888FD,#00E36B
1.7,0.075,#5CB6FB,#00BDB5,#C887FD,#00BDB5,#5CB6FB,#39AB90,#5CB6FB,#C887FD,#00E36B
1.71,0.0725,#5CB6FB,#00BDB5,#C887FD,#00BDB5,#5CB6FB,#39AB90,#5CB6FB,#C887FD,#00E36B
1.72,0.07,#5BB6FB,#00BDB5,#C787FD,#00BDB5,#5BB6FB,#39AB90,#5BB6FB,#C787FD,#00E36B
1.73,0.0675,#5BB6FB,#00BDB5,#C787FD,#00BDB5,#5BB6FB,#39AB8F,#5BB6FB,#C787FD,#00E36B
1.74,0.065,#5BB6FB,#00BDB5,#C787FD,#00BDB5,#5BB6FB,#38AA8F,#5BB6FB,#C787FD,#00E26B
1.75,0.0625,#5BB6FB,#00BDB5,#C787FD,#00BDB5,#5BB6FB,#38AA8F,#5BB6FB,#C787FD,#00E26B
1.76,0.06,#5BB6FB,#00BDB5,#C786FD,#00BDB5,#5BB6FB,#38AA8F,#5BB6FB,#C786FD,#00E26B
1.77,0.0575,#5BB6FB,#00BCB4,#C786FD,#00BCB4,#5BB6FB,#38AA8F,#5BB6FB,#C786FD,#00E26B
1.78,0.055,#5BB6FB,#00BCB4,#C786FD,#00BCB4,#5BB6FB,#38AA8E,#5BB6FB,#C786FD,#00E26B
1.79,0.0525,#5AB6FB,#00BCB4,#C786FD,#00BCB4,#5AB6FB,#38A98E,#5AB6FB,#C786FD,#00E26B
1.8,0.05,#5AB6FB,#00BCB4,#C786FD,#00BCB4,#5AB6FB,#38A98E,#5AB6FB,#C786FD,#00E16A
1.81,0.0475,#5AB6FB,#00BCB4,#C785FD,#00BCB4,#5AB6FB,#38A98E,#5AB6FB,#C785FD,#00E16A
1.82,0.045,#5AB5FB,#00BCB4,#C785FD,#00BCB4,#5AB5FB,#37A98E,#5AB5FB,#C785FD,#00E16A
1.83,0.0425,#5AB5FB,#00BBB3,#C685FD,#00BBB3,#5AB5FB,#37A98D,#5AB5FB,#C685FD,#00E16A
1.84,0.04,#5AB5FB,#00BBB3,#C685FD,#00BBB3,#5AB5FB,#37A88D,#5AB5FB,#C685FD,#00E16A
1.85,0.0375,#59B5FB,#00BBB3,#C685FD,#00BBB3,#59B5FB,#37A88D,#59B5FB,#C685FD,#00E16A
1.86,0.035,#59B5FA,#00BBB3,#C685FD,#00BBB3,#59B5FA,#37A88D,#59B5FA,#C685FD,#00E06A
1.87,0.0325,#59B5FA,#00BBB3,#C684FD,#00BBB3,#59B5FA,#37A88D,#59B5FA,#C684FD,#00E06A
1.88,0.03,#59B5FA,#00BBB3,#C684FD,#00BBB3,#59B5FA,#37A78C,#59B5FA,#C684FD,#00E06A
1.89,0.0275,#59B5FA,#00BBB3,#C684FD,#00BBB3,#59B5FA,#36A78C,#59B5FA,#C684FD,#00E06A
1.9,0.025,#59B5FA,#00BAB2,#C684FD,#00BAB2,#59B5FA,#36A78C,#59B5FA,#C684FD,#00E06A
1.91,0.0225,#58B5FA,#00BAB2,#C684FD,#00BAB2,#58B5FA,#36A78C,#58B5FA,#C684FD,#00E06A
1.92,0.02,#58B5FA,#00BAB2,#C683FD,#00BAB2,#58B5FA,#36A78C,#58B5FA,#C683FD,#00DF6A
1.93,0.0175,#58B5FA,#00BAB2,#C683FD,#00BAB2,#58B5FA,#36A68B,#58B5FA,#C683FD,#00DF6A
1.94,0.015,#58B4FA,#00BAB2,#C683FD,#00BAB2,#58B4FA,#36A68B,#58B4FA,#C683FD,#00DF69
1.95,0.0125,#58B4FA,#00BAB2,#C583FD,#00BAB2,#58B4FA,#36A68B,#58B4FA,#C583FD,#00DF69
1.96,0.01,#58B4FA,#00BAB2,#C583FD,#00BAB2,#58B4FA,#36A68B,#58B4FA,#C583FD,#00DF69
1.97,0.0075,#57B4FA,#00B9B1,#C583FD,#00B9B1,#57B4FA,#35A68B,#57B4FA,#C583FD,#00DF69
1.98,0.005,#57B4FA,#00B9B1,#C582FD,#00B9B1,#57B4FA,#35A58A,#57B4FA,#C582FD,#00DE69
1.99,0.0025,#57B4FA,#00B9B1,#C582FD,#00B9B1,#57B4FA,#35A58A,#57B4FA,#C582FD,#00DE69
2,0,#57B4FA,#00B9B1,#C582FD,#00B9B1,#57B4FA,#35A58A,#57B4FA,#C582FD,#00DE69
